本科または専攻科,科目区分1,科目区分2,授業科目,科目番号,単位種別,単位数,学科,学年,学期,担当教員,履修上の区分,科における科目種
本科,一般,選択,保健体育ⅣA,04102,履修単位,1,一般学科,4,不定,近藤 雅哉,区分なし,なし
本科,一般,選択,哲学Ⅰ,04108,学修単位,2,一般学科,4,不定,吉永 健,区分なし,なし
本科,一般,選択,歴史特論Ⅰ,04109,学修単位,2,一般学科,4,不定,京極 佑明,区分なし,なし
本科,一般,選択,現代社会学Ⅰ,04110,学修単位,2,一般学科,4,不定,高橋 清話,区分なし,なし
本科,一般,選択,経済学Ⅰ,04111,学修単位,2,一般学科,4,不定,甲 成彦,区分なし,なし
本科,一般,選択,法学Ⅰ,04112,学修単位,2,一般学科,4,不定,大矢 正史,区分なし,なし
本科,一般,選択,英語ⅠA,04113,履修単位,1,一般学科,4,不定,寺嶋 宏樹・山田 慶太,区分なし,なし
本科,一般,選択,科学英語基礎ⅡA,04125,履修単位,1,一般学科,4,不定,神谷 昌明・加藤 淑子,区分なし,なし
本科,一般,選択,保健体育ⅣB,04202,履修単位,1,一般学科,4,不定,近藤 雅哉,区分なし,なし
本科,一般,選択,日本語表現,04207,学修単位,2,一般学科,4,不定,山口 比砂・奥野 浩子,区分なし,なし
本科,一般,選択,哲学Ⅱ,04208,学修単位,2,一般学科,4,不定,吉永 健,区分なし,なし
本科,一般,選択,歴史特論Ⅱ,04209,学修単位,2,一般学科,4,不定,京極 佑明,区分なし,なし
本科,一般,選択,現代社会学Ⅱ,04210,学修単位,2,一般学科,4,不定,高橋 清話,区分なし,なし
本科,一般,選択,経済学Ⅱ,04211,学修単位,2,一般学科,4,不定,甲 成彦,区分なし,なし
本科,一般,選択,法学Ⅱ,04212,学修単位,2,一般学科,4,不定,大矢 正史,区分なし,なし
本科,一般,選択,英語ⅠB,04213,履修単位,1,一般学科,4,不定,出嶋 真由美・山田 慶太,区分なし,なし
本科,一般,選択,物理特論,04214,学修単位,2,一般学科,4,不定,大森 有希子,区分なし,なし
本科,一般,選択,化学特論,04215,学修単位,2,一般学科,4,不定,三浦 大和,区分なし,なし
本科,一般,選択,数学特論,04216,学修単位,2,一般学科,4,不定,脇谷 浩明・安井 剛,区分なし,なし
本科,一般,選択,科学英語基礎ⅡB,04225,履修単位,1,一般学科,4,不定,神谷 昌明・加藤 淑子,区分なし,なし
本科,一般,選択,日本語Ⅱ,04351,履修単位,2,一般学科,4,不定,伊藤 亜希子,区分なし,なし
本科,専門,選択,解析学A,34111,学修単位,2,情報工学科,4,不定,白澤 真,必履修,なし
本科,専門,選択,アルゴリズムとデータ構造,34112,学修単位,2,情報工学科,4,不定,江崎 信行,必履修,なし
本科,専門,選択,コンピュータ工学Ⅱ,34113,履修単位,1,情報工学科,4,不定,仲野 巧,必履修,なし
本科,専門,選択,電子回路,34114,学修単位,2,情報工学科,4,不定,阪東 啓太,必履修,なし
本科,専門,選択,電気磁気学Ⅱ,34115,学修単位,2,情報工学科,4,不定,早坂 太一,区分なし,なし
本科,専門,選択,信号解析,34116,学修単位,2,情報工学科,4,不定,安藤 浩成,区分なし,なし
本科,専門,選択,情報ネットワーク論,34117,学修単位,2,情報工学科,4,不定,平野 学,必履修,なし
本科,専門,必修,エンジニアリングデザインⅡ,34118,学修単位,2,情報工学科,4,不定,平野 学・村田 匡峰,必履修,なし
本科,専門,選択,解析学B,34211,学修単位,2,情報工学科,4,不定,白澤 真,必履修,なし
本科,専門,選択,プログラミング言語論,34212,学修単位,2,情報工学科,4,不定,内山 慎太郎,必履修,なし
本科,専門,選択,ソフトウェア設計,34213,学修単位,2,情報工学科,4,不定,加藤 康昭,必履修,なし
本科,専門,選択,コンピュータアーキテクチャ,34214,学修単位,2,情報工学科,4,不定,仲野 巧,必履修,なし
本科,専門,選択,情報通信工学,34215,学修単位,2,情報工学科,4,不定,平野 学,必履修,なし
本科,専門,選択,制御工学,34216,学修単位,2,情報工学科,4,不定,安藤 浩成,区分なし,なし
本科,専門,選択,情報数学Ⅰ,34217,学修単位,2,情報工学科,4,不定,早坂 太一,必履修,なし
本科,専門,必修,情報工学ゼミⅡ,34218,履修単位,1,情報工学科,4,不定,稲垣 宏・安藤 浩成・木村 勉・早坂 太一・江崎 信行・平野 学・都築 啓太・村田 匡峰・三浦 哲平,必履修,なし
本科,専門,選択,校外実習,34311,学修単位,2,情報工学科,4,不定,平野 学,区分なし,なし
