科目区分1,科目区分2,授業科目,科目番号,単位種別,単位数,学科,学年,学期,担当教員,履修上の区分
一般,選択,保健体育ⅤA,05102,履修単位,1,一般学科,5,不定,高津 浩彰・加藤 貴英・近藤 雅哉・土井 健一郎,区分なし
一般,選択,文学特論,05104,学修単位,2,一般学科,5,不定,加藤 彩,区分なし
一般,選択,社会科学特論Ⅰ,05108,学修単位,2,一般学科,5,不定,甲 成彦,区分なし
一般,選択,人文科学特論Ⅰ,05109,学修単位,2,一般学科,5,不定,高橋 清話,区分なし
一般,選択,英語Ⅱ,05110,学修単位,2,一般学科,5,不定,寺嶋 宏樹・川島 彩那,区分なし
一般,選択,保健体育ⅤB,05201,履修単位,1,一般学科,5,不定,高津 浩彰・加藤 貴英・近藤 雅哉・土井 健一郎,区分なし
一般,選択,社会科学特論Ⅱ,05208,学修単位,2,一般学科,5,不定,松山 紀昭,区分なし
一般,選択,人文科学特論Ⅱ,05209,学修単位,2,一般学科,5,不定,北野 孝志,区分なし
一般,選択,英語Ⅲ,05210,学修単位,2,一般学科,5,不定,市川 裕理・寺嶋 宏樹,区分なし
一般,選択,ドイツ語,05211,学修単位,2,一般学科,5,不定,谷口 祐美子,区分なし
専門,選択,統計学,35111,学修単位,2,情報工学科,5,不定,早坂 太一,必履修
専門,選択,システムプログラム,35112,学修単位,2,情報工学科,5,不定,八十島 宜宏,必履修
専門,選択,コンピュータシステム設計,35113,学修単位,2,情報工学科,5,不定,木村 勉,必履修
専門,選択,情報数学Ⅱ,35114,学修単位,2,情報工学科,5,不定,稲垣 宏,必履修
専門,選択,数理工学演習Ⅳ,35115,履修単位,1,情報工学科,5,不定,安藤 浩成,区分なし
専門,選択,数値解析,35116,学修単位,2,情報工学科,5,不定,江崎 信行,必履修
専門,選択,システム工学,35117,学修単位,2,情報工学科,5,不定,吉浦 叶,区分なし
専門,選択,情報回路理論,35118,学修単位,2,情報工学科,5,不定,安藤 浩成,区分なし
専門,選択,情報理論,35212,学修単位,2,情報工学科,5,不定,山本 一公,必履修
専門,選択,知能メディア処理,35214,学修単位,2,情報工学科,5,不定,村田 匡峰・稲垣 宏・安藤 浩成・木村 勉・早坂 太一・江崎 信行・平野 学・都築 啓太・村田 匡峰・八十島 宜宏・三浦 哲平,必履修
専門,必修,卒業研究,35311,履修単位,8,情報工学科,5,不定,稲垣 宏・安藤 浩成・木村 勉・早坂 太一・江崎 信行・平野 学・都築 啓太・村田 匡峰・八十島 宜宏・三浦 哲平,必履修
