本科または専攻科,科目区分1,科目区分2,授業科目,科目番号,単位種別,単位数,学科,学年,学期,担当教員,履修上の区分,科における科目種
専攻科,一般,必修,総合英語Ⅰ,90011,学修単位,2,専攻共通,1,前期,市川 裕理,指定なし,一般科目
専攻科,一般,必修,技術者倫理,90013,学修単位,2,専攻共通,1,前期,北野 孝志,指定なし,一般科目
専攻科,一般,選択,歴史学,90015,学修単位,2,専攻共通,1,前期,京極 俊明,指定なし,一般科目
専攻科,一般,選択,日本の言葉と文化,90016,学修単位,2,専攻共通,1,後期,江口 育子,指定なし,一般科目
専攻科,一般,選択,地域と産業,90018,学修単位,2,専攻共通,1,後期,高橋 清吾,指定なし,一般科目
専攻科,一般,選択,技術英語,90311,学修単位,2,専攻共通,1,後期,平野 学,指定なし,一般科目
専攻科,一般,選択,解析力学,91011,学修単位,2,専攻共通,1,前期,松本 真吾,指定なし,専門関連科目
専攻科,一般,選択,線形代数学,91012,学修単位,2,専攻共通,1,前期,吉澤 毅,指定なし,専門関連科目
専攻科,一般,選択,生物化学,91018,学修単位,2,専攻共通,1,前期,三浦 大和,指定なし,専門関連科目
専攻科,一般,選択,原子物理学,91022,学修単位,2,専攻共通,1,後期,高村 明,指定なし,専門関連科目
専攻科,一般,選択,応用解析学Ⅰ,91023,学修単位,2,専攻共通,1,後期,勝谷 浩明,指定なし,専門関連科目
専攻科,専門,選択,都市地域解析論,92023,学修単位,2,専攻共通,1,後期,佐藤 雄哉,指定なし,専門科目
専攻科,専門,選択,インターンシップ,92311,学修単位,4,専攻共通,1,後期,平野 学,指定なし,専門科目
専攻科,専門,必修,情報科学実験,95002,学修単位,4,情報科学専攻,1,通年,都築 啓太,指定なし,専門科目
専攻科,専門,選択,コンピュータシステム,95011,学修単位,2,情報科学専攻,1,後期,三浦 哲平,指定なし,専門科目
専攻科,専門,選択,ディジタル信号処理,95012,学修単位,2,情報科学専攻,1,後期,安藤 浩成,指定なし,専門科目
専攻科,専門,選択,ソフトウェア工学,95013,学修単位,2,情報科学専攻,1,前期,木村 勉,指定なし,専門科目
専攻科,専門,選択,応用情報システム,95028,学修単位,2,情報科学専攻,1,後期,早坂 太一,指定なし,専門科目
専攻科,専門,選択,知識情報工学,95029,学修単位,2,情報科学専攻,1,前期,早坂 太一,指定なし,専門科目
専攻科,専門,選択,組込みシステム特論,95032,学修単位,2,情報科学専攻,1,前期,木村 勉,指定なし,専門科目
専攻科,専門,選択,情報数学特論Ⅰ,95033,学修単位,2,情報科学専攻,1,後期,米澤 佳己,指定なし,専門科目
専攻科,専門,必修,特別研究Ⅰ,95302,学修単位,6,情報科学専攻,1,通年,安藤 浩成・木村 勉・早坂 太一・江崎 信行・三浦 哲平・野 学・都築 啓太・田匡 匡・八十 宜宏・三浦 哲平,指定なし,専門科目
専攻科,一般,必修,総合英語Ⅱ,90012,学修単位,2,専攻共通,2,後期,遠藤 雅馬,指定なし,一般科目
専攻科,一般,選択,上級英語表現,90014,学修単位,2,専攻共通,2,前期,山田 慶太,指定なし,一般科目
専攻科,一般,選択,応用解析学Ⅱ,91015,学修単位,2,専攻共通,2,後期,金坂 伸礼,指定なし,専門関連科目
専攻科,一般,選択,統計熱力学,91016,学修単位,2,専攻共通,2,後期,篠山 将規,指定なし,専門関連科目
専攻科,一般,選択,生体情報論,91019,学修単位,2,専攻共通,2,前期,加藤 貴英,指定なし,専門関連科目
専攻科,一般,選択,健康科学特論,91020,学修単位,2,専攻共通,2,後期,加藤 貴英,指定なし,専門関連科目
専攻科,一般,選択,初等代数,91021,学修単位,2,専攻共通,2,前期,米澤 佳己,指定なし,専門関連科目
専攻科,専門,選択,信頼性工学,92012,学修単位,2,専攻共通,2,前期,中村 裕昭,指定なし,専門科目
専攻科,専門,選択,情報システム工学,92014,学修単位,2,専攻共通,2,後期,吉岡 貴芳,指定なし,専門科目
専攻科,専門,選択,パターン情報処理,92015,学修単位,2,専攻共通,2,後期,村田 真雄,指定なし,専門科目
専攻科,専門,選択,工業デザイン論,92016,学修単位,2,専攻共通,2,後期,三島 雅博,指定なし,専門科目
専攻科,専門,選択,技術史,92017,学修単位,2,専攻共通,2,後期,鬼頭 俊介・塚本 武彦・平野 学・松本 真吾・山田 耕司,指定なし,専門科目
専攻科,専門,選択,コンパイラ,95018,学修単位,2,情報科学専攻,2,後期,江崎 信行,指定なし,専門科目
専攻科,専門,選択,電子工学,95023,学修単位,2,情報科学専攻,2,後期,都築 啓太,指定なし,専門科目
専攻科,専門,選択,ネットワークセキュリティ,95025,学修単位,2,情報科学専攻,2,前期,平野 学,指定なし,専門科目
専攻科,専門,選択,情報数学特論Ⅱ,95034,学修単位,2,情報科学専攻,2,前期,米澤 佳己,指定なし,専門科目
専攻科,専門,必修,特別研究Ⅱ,95303,学修単位,6,情報科学専攻,2,通年,安藤 浩成・木村 勉・坂 太一・江崎 信行・平野 学・都築 啓太・村田 匡雄・八十 宜宏・三浦 哲平,指定なし,専門科目
